"brand","listing_url","region","categories","source_url","retrieved_date"
"#NEWGEN","https://www.crueltyfreeinternational.org/approved-brands/listing/newgen/","Africa & The Middle East; Asia; Europe","Cosmetic and Personal Care Products: Body | Face | Fragrance and Aromatherapy | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/","2026-09-04"
"17","https://www.crueltyfreeinternational.org/approved-brands/listing/17-2/","Europe","Cosmetic and Personal Care Products: Face | Makeup","https://www.crueltyfreeinternational.org/approved-brands/","2026-09-04"
"7th Heaven","https://www.crueltyfreeinternational.org/approved-brands/listing/7th-heaven/","","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/","2026-09-04"
"A Little Something","https://www.crueltyfreeinternational.org/approved-brands/listing/a-little-something/","Europe","","https://www.crueltyfreeinternational.org/approved-brands/","2026-09-04"
"Abundant Natural Health","https://www.crueltyfreeinternational.org/approved-brands/listing/abundant-natural-health/","Australia & New Zealand; USA & Canada","Cosmetic and Personal Care Products: Babies & Children | Body | Hair Care","https://www.crueltyfreeinternational.org/approved-brands/","2026-09-04"
"Academy of Colour","https://www.crueltyfreeinternational.org/approved-brands/listing/academy-of-colour/","Europe","Cosmetic and Personal Care Products: Face | Fragrance and Aromatherapy | Hair Care | Makeup","https://www.crueltyfreeinternational.org/approved-brands/","2026-09-04"
"Adaptology","https://www.crueltyfreeinternational.org/approved-brands/listing/adaptology/","","Cosmetic and Personal Care Products: Face","https://www.crueltyfreeinternational.org/approved-brands/","2026-09-04"
"Addition Studio","https://www.crueltyfreeinternational.org/approved-brands/listing/addition-studio/","Australia & New Zealand; USA & Canada","Cosmetic and Personal Care Products: Body | Face | Fragrance and Aromatherapy","https://www.crueltyfreeinternational.org/approved-brands/","2026-09-04"
"Aesop","https://www.crueltyfreeinternational.org/approved-brands/listing/aesop/","","Cosmetic and Personal Care Products: Body | Face | Fragrance and Aromatherapy | Hair Care | Makeup","https://www.crueltyfreeinternational.org/approved-brands/","2026-09-04"
"Aldi","https://www.crueltyfreeinternational.org/approved-brands/listing/aldi-uk/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Fragrance and Aromatherapy | Hair Care | Makeup; Household & Cleaning Products: Household Cleaning | Home Fragrance / Air Care | Laundry | Car Care","https://www.crueltyfreeinternational.org/approved-brands/","2026-09-04"
"Almora Botanica","https://www.crueltyfreeinternational.org/approved-brands/listing/almora-botanica/","Europe","Cosmetic and Personal Care Products: Body | Face","https://www.crueltyfreeinternational.org/approved-brands/","2026-09-04"
"Alter/Native by Suma","https://www.crueltyfreeinternational.org/approved-brands/listing/alter-native-by-suma/","","Cosmetic and Personal Care Products: Body; Household & Cleaning Products: Household Cleaning | Home Fragrance / Air Care | Laundry | Car Care","https://www.crueltyfreeinternational.org/approved-brands/","2026-09-04"
"Alucia Organics","https://www.crueltyfreeinternational.org/approved-brands/listing/alucia-organics/","Europe","Cosmetic and Personal Care Products: Face","https://www.crueltyfreeinternational.org/approved-brands/","2026-09-04"
"Amarás","https://www.crueltyfreeinternational.org/approved-brands/listing/amaras/","South & Central America","Cosmetic and Personal Care Products: Hair Care","https://www.crueltyfreeinternational.org/approved-brands/","2026-09-04"
"Anara Skincare","https://www.crueltyfreeinternational.org/approved-brands/listing/anara-skincare/","Europe","Cosmetic and Personal Care Products: Body | Face | Makeup","https://www.crueltyfreeinternational.org/approved-brands/","2026-09-04"
"Anko","https://www.crueltyfreeinternational.org/approved-brands/listing/anko/","Australia & New Zealand","Cosmetic and Personal Care Products: Body | Face | Fragrance and Aromatherapy | Hair Care | Makeup","https://www.crueltyfreeinternational.org/approved-brands/","2026-09-04"
"Aqua Natural","https://www.crueltyfreeinternational.org/approved-brands/listing/aqua-natural/","Europe","Cosmetic and Personal Care Products: Body","https://www.crueltyfreeinternational.org/approved-brands/","2026-09-04"
"Ar Ocean","https://www.crueltyfreeinternational.org/approved-brands/listing/ar-ocean/","Europe","Cosmetic and Personal Care Products: Babies & Children | Body | Face | Fragrance and Aromatherapy | Hair Care; Household & Cleaning Products: Household Cleaning | Home Fragrance / Air Care | Laundry | Car Care","https://www.crueltyfreeinternational.org/approved-brands/","2026-09-04"
