ean,dan,name,brand,category,price,dm_url,flag_fragrance_free,flag_nc,flag_cf,dm_fragranceFree,dm_oilFree,dm_naturalCosmetics,dm_vegan,highlights,description,queries,source,checked_at
8436585433261,2007226,"Anti Pickel Gesichtscreme Zitcontrol LSF 50, 40 ml",Acnemy,Anti Pickel & Mitesser > Tagescreme > Gesichtspflege,"18,95 €",https://www.dm.de/applink/p/d/2007226/acnemy-anti-pickel-gesichtscreme-zitcontrol-lsf-50?appPageType=productdetails&appProductId=2007226&wt_mc=dm-mcp,yes,no,no,True,True,False,True,"Effektiver UVA/UVB-Schutz mit LSF 50, Unterstützt die Vorbeugung von Pickeln, Leichte, schnell einziehende Formel, Mit S","Die Acnemy Zitcontrol Tagescreme LSF 50 bietet nicht nur umfassenden Schutz vor schädlichen Sonnenstrahlen, sondern auch eine gezielte Pflege für zu A",Salicylsäure Gesicht,dm-mcp-searchProducts,2026-09-04
5709455010491,1672587,"Anti Pickel Serum Niacinamide, 30 ml",Australian BodyCare,Serum & Kur > Gesichtspflege,"9,95 €",https://www.dm.de/applink/p/d/1672587/australian-bodycare-anti-pickel-serum-niacinamide?appPageType=productdetails&appProductId=1672587&wt_mc=dm-mcp,no,no,no,False,False,False,True,"Gesichtsserum mit Niacinamiden 10 % & Teebaumöl, Für Mitesser, Pickel, unreine & fettige Haut, Für tägliche Anwendung mi","Das Serum Blemish Tea Tree Oil von Australian BodyCare mit Teebaumöl, Niacinamiden und Zink pflegt und nährt die Haut. Das Serum wird speziell bei Hau",Niacinamid Serum,dm-mcp-searchProducts,2026-09-04
4066447374537,1614611,"Abschminktücher Pflegend 3in1, 25 St",Balea,Abschminkprodukte > Gesichtsreinigung,"0,85 €",https://www.dm.de/applink/p/d/1614611/balea-abschminktuecher-pflegend-3in1?appPageType=productdetails&appProductId=1614611&wt_mc=dm-mcp,yes,no,no,True,False,False,True,"Milde Reinigung für ein zartes Hautgefühl, Mit Vitamin E, Provitamin B5 und Mandelöl, Parfumfrei, Für trockene und sensi",Balea pflegende Reinigungstücher sind speziell für die schnelle und optimale Reinigung des Gesichts und der sensiblen Augenpartie geeignet. Verschmutz,Gesichtsreinigung ohne Duftstoffe,dm-mcp-searchProducts,2026-09-04
4070765000856,1708625,"Anti-Pickel 24h Pflege hautrein, 50 ml",Balea,Tagescreme > Gesichtspflege,"1,95 €",https://www.dm.de/applink/p/d/1708625/balea-anti-pickel-24h-pflege-hautrein?appPageType=productdetails&appProductId=1708625&wt_mc=dm-mcp,yes,no,no,True,False,False,False,"Gesichtspflege für unreine Haut, Mit Salizylsäure und Zink, Wirkt Hautunreinheiten entgegen und kann deren Neubildung vo","Die Balea Hautrein Anti-Pickel 24h Pflege ist eine Spezialpflege, die gezielt auf die Bedürfnisse von zu Unreinheiten neigender Haut abgestimmt ist. I",Akne Unreinheiten Reinigung,dm-mcp-searchProducts,2026-09-04
4066447882629,3116014,"Cleansing Jelly BE YOU, 150 ml",Balea,Gesichtsreinigung,"2,75 €",https://www.dm.de/applink/p/d/3116014/balea-cleansing-jelly-be-you?appPageType=productdetails&appProductId=3116014&wt_mc=dm-mcp,yes,no,no,True,False,False,True,"Sanftes Reinigungsgel für das Gesicht, Entfernt sanft Schmutz Make-up und LSF, Mit Tonerde Kokoswasser und Milchsäure (A","Das Be You Cleansing Jelly von Balea reinigt die Haut sanft und dennoch gründlich. Die Formulierung entfernt zuverlässig Verschmutzungen, Make-up und ",Gesichtsreinigung ohne Duftstoffe,dm-mcp-searchProducts,2026-09-04
4066447985290,1690679,"Dunkle Flecken Aufheller Vitamin C, 50 ml",Balea,Tagescreme > Gesichtspflege,"3,95 €",https://www.dm.de/applink/p/d/1690679/balea-dunkle-flecken-aufheller-vitamin-c?appPageType=productdetails&appProductId=1690679&wt_mc=dm-mcp,no,no,no,False,False,False,True,"Für ein ebenmäßiges und strahlendes Hautbild, Mit Vitamin C und Niacinamiden, Kann Pigmentflecken und Hautverfärbungen m",Der Balea Fleckenaufheller Vitamin C wurde für ein ebenmäßigeres Hautbild entwickelt. Dank der wirksamen Formulierung mit Vitamin C und Niacinamiden k,Cetaphil Feuchtigkeitscreme,dm-mcp-searchProducts,2026-09-04
4070765029529,3148608,"Gesichtscreme Beauty Expert NMF Base, 125 ml",Balea,Tagescreme > Gesichtspflege,"6,95 €",https://www.dm.de/applink/p/d/3148608/balea-gesichtscreme-beauty-expert-nmf-base?appPageType=productdetails&appProductId=3148608&wt_mc=dm-mcp,yes,no,no,True,False,False,True,"Feuchtigkeitsspendende Gesichtscreme, Mit 1 % NMF, 1 % Squalan und 2 % Ceramid-Komplex, Unterstützt die natürliche Regen","Die Balea Beauty Expert NMF Base Cream ist mit einem biomimetischen Wirkstoffkomplex formuliert, der die Haut intensiv pflegt. Die Formel mit 1 % NMF,",Balea Med unparfümiert Gesicht,dm-mcp-searchProducts,2026-09-04
4066447970418,3125385,"Gesichtscreme Daily Moisturizer Be You, 50 ml",Balea,Tagescreme > Gesichtspflege,"2,95 €",https://www.dm.de/applink/p/d/3125385/balea-gesichtscreme-daily-moisturizer-be-you?appPageType=productdetails&appProductId=3125385&wt_mc=dm-mcp,yes,no,no,True,False,False,True,"Tägliche Feuchtigkeitspflege für das Gesicht, Mit Hyaluronsäure und Jojobaöl, Spendet langanhaltende Feuchtigkeit","Die Gesichtscreme Daily Moisturizer Be You von Balea ist eine ideale tägliche Pflege, die die Haut intensiv mit Feuchtigkeit versorgt. Dank der pH-hau",Gesichtscreme parfümfrei | Balea Med unparfümiert Gesicht,dm-mcp-searchProducts,2026-09-04
4066447976229,3125227,"Gesichtscreme Gel Beauty Hyaluron Hydro Plump, 50 ml",Balea,Tagescreme > Gesichtspflege,"5,95 €",https://www.dm.de/applink/p/d/3125227/balea-gesichtscreme-gel-beauty-hyaluron-hydro-plump?appPageType=productdetails&appProductId=3125227&wt_mc=dm-mcp,yes,no,no,True,False,False,True,"Feuchtigkeitsspendende Gel-Creme, Mit 7-facher Hyaluronsäure und Elektrolyten-Komplex, Für ein glatteres und ebenmäßiger",Die Beauty Hyaluron Hydro Plump Gel-Creme mit 7-facher Hyaluronsäure und einem Elektrolyten-Komplex von Balea kann zu einem verbesserten Hautbild beit,Gesichtscreme parfümfrei,dm-mcp-searchProducts,2026-09-04
4066447985399,1622887,"Gesichtscreme Hyaluron Beauty LSF 15, 50 ml",Balea,Tagescreme > Gesichtspflege,"5,95 €",https://www.dm.de/applink/p/d/1622887/balea-gesichtscreme-hyaluron-beauty-lsf-15?appPageType=productdetails&appProductId=1622887&wt_mc=dm-mcp,no,no,no,False,False,False,True,"Gesichtscreme mit Hyaluron und LSF 15, Mit 7-facher Hyaluronsäure und Vitamin E, Für ein pralleres und glatteres Hautbil",Die Balea Beauty Hyaluron Tagescreme mit Lichtschutzfaktor 15 kann die Haut glätten und zur Milderung von Fältchen beitragen. Ihre Wirkstoffkombinatio,nicht komedogen Gesichtscreme,dm-mcp-searchProducts,2026-09-04
