ean,name,brand,age_band,category_slot,eu_countries,flag_fragrance_free,flag_under3_intended,flag_cf,flag_nc,fragrance_basis,under3_basis,cf_basis,nc_basis,spf_note,source_url,notes
5060447948674,Face cream Fragrance Free,Childs cream,baby_0_36m,creme,PL,yes,yes,yes,no,name-claim,obf-category-or-name,cfi,,,https://world.openbeautyfacts.org/product/5060447948674/face-cream-fragrance-free-childs-cream,
20231460,Crème solaire enfant FPS50+,Cien,kind_3_11,spf,FR;NL;ES,yes,yes,yes,no,obf-label,obf-category-or-name,cfi,,AAP/AAD: unter 6 Monaten SPF nicht first-line,https://world.openbeautyfacts.org/product/20231460/cien-sun,"SAFETY NOTE unter 6 Mon.: Schatten/Kleidung first-line, kein SPF-First für Neonaten in App-Copy."
3560071348069,Gel lavant 2 in 1,Carrefour,baby_0_36m,bad,FR,yes,yes,no,no,obf-label,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3560071348069/gel-lavant-2-in-1-carrefour-bebe,
3282779300551,Crème au Cold Cream Avène Pédiatril,Avène Eau Thermale,baby_0_36m,creme,FR,yes,yes,no,no,brand-page,brand-page+obf,,,,https://www.eau-thermale-avene.de/alle-produktfamilien/babypflege,Avène Babypflege-Charter: Hygiene parfüm-/seifenfrei (DE Markenseite).
3282770074307,Crème Hydratante Avène Pédiatril Sterile Cosmetics,Avène Eau Thermale,baby_0_36m,creme,FR,yes,yes,no,no,brand-page,brand-page+obf,,,,https://www.eau-thermale-avene.de/alle-produktfamilien/babypflege,Avène Babypflege-Charter: Hygiene parfüm-/seifenfrei (DE Markenseite).
0062600452306,"Baby Lotion - Coconut Oil Body Moisturizer - Dry Skin - Baby Skin Care Product, Fragrance Free",Johnson’s,baby_0_36m,creme,FR,yes,yes,no,no,name-claim,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/0062600452306/baby-lotion-coconut-oil-body-moisturizer-dry-skin-baby-skin-care-product-fragrance-free-johnson-s,"OBF-Name endet mit „Fragrance Free“; Coconut Oil = Inhaltsstoff, nicht Duftclaim. EU-countries laut OBF prüfen."
3337872412998,Lipikar Baume AP+M,La Roche-Posay,baby_0_36m,creme,FR;DE;AT;EU,yes,yes,no,no,brand-page,brand-page,,,,https://centrethermal.laroche-posay.fr/fr-FR/SPA-Source,LRP Thermal Center: Lipikar Baume AP+M „Sans parfum“; bébé/enfant/adulte. DE-Seite JS-shell. Keine Therapie. CFI: nein.
,Crème émolliente visage Stelatopia,Mustela,baby_0_36m,creme,FR;EU,yes,yes,no,no,brand-page,brand-page,,,,https://www.mustela.fr/products/creme-emolliente-visage-stelatopia,Markenseite: sans parfum / 0% PARFUM; dès la naissance. Keine Therapie. CFI: nein.
3504105028947,Stelatopia,Mustela,baby_0_36m,creme,FR,yes,yes,no,no,brand-page-inci-no-parfum,brand-page,,,,https://www.mustela.com/products/baume-emollient-stelatopia,Mustela Stelatopia Baume: dès la naissance (hors néonatologie); INCI Markenseite ohne Parfum.
,Calendula Gesichtscreme parfümfrei,Weleda,baby_0_36m,creme,DE;AT,yes,yes,no,no,brand-page,brand-page,,,,https://www.weleda.de/produkt/calendula-gesichtscreme-parfuemfrei-g004246,Markenseite: parfümfreie Calendula Gesichtscreme Weleda Baby. CFI: nein.
,Calendula Pflegeöl parfümfrei,Weleda,baby_0_36m,creme,DE;AT,yes,yes,no,no,brand-page,brand-page,,,,https://www.weleda.de/produkt/calendula-pflegeoel-parfuemfrei-g007528,Markenseite: unparfümiertes Calendula-Pflegeöl für Babypflege. CFI: nein.
3574660536522,First Touch Shampoo,Natusan,baby_0_36m,haar,FR,yes,yes,no,no,obf-label,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3574660536522/first-touch-shampoo-natusan,
3560071275075,Lait de toilette,Carrefour,baby_0_36m,reiniger,FR,yes,yes,no,no,obf-label,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3560071275075/lait-de-toilette-carrefour-baby-bio,
3760075074227,Spray solaire bébé 100 % naturel* haute protection - 50 sensible,Alphanova Sun,baby_0_36m,spf,FR,yes,yes,no,no,obf-label,obf-category-or-name,,,AAP/AAD: unter 6 Monaten SPF nicht first-line,https://world.openbeautyfacts.org/product/3760075074227/spray-solaire-bebe-100-naturel-haute-protection-50-sensible-alphanova-sun,"SAFETY NOTE unter 6 Mon.: Schatten/Kleidung first-line, kein SPF-First für Neonaten in App-Copy."
3286011092310,Crème change,Biolane,baby_0_36m,windel,FR,yes,yes,no,no,obf-label,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3286011092310/creme-change-biolane,
3560070311453,Lingettes bébé sans parfum 100% coton,Carrefour,baby_0_36m,windel,FR,yes,yes,no,no,name-claim,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3560070311453/lingettes-bebe-sans-parfum-100-coton-carrefour,
26028071,Lingettes bébé très douces sensitive,Chérubin,baby_0_36m,windel,FR,yes,yes,no,no,obf-label,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/26028071/lingettes-bebe-tres-douces-sensitive-cherubin,
5028270004752,Baby wipes fragrance free,Dimple,baby_0_36m,windel,FR,yes,yes,no,no,obf-label,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/5028270004752/baby-wipes-fragrance-free-dimple,
8690510115145,baby pure fragrance free wipes,hops,baby_0_36m,windel,PL,yes,yes,no,no,name-claim,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/8690510115145/baby-pure-fragrance-free-wipes-hops,
3450601052316,Liniment oléo-calcaire,L'arbre vert,baby_0_36m,windel,FR,yes,yes,no,no,obf-label,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3450601052316/liniment-oleo-calcaire-l-arbre-vert-bebe,
4015400622413,Natural clean,P&G,baby_0_36m,windel,FR,yes,yes,no,no,obf-label,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/4015400622413/natural-clean-p-g,
4015400621966,Sensitive,P&G,baby_0_36m,windel,FR,yes,yes,no,no,obf-label,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/4015400621966/sensitive-p-g,
,Calendula Wundschutzcreme parfümfrei,Weleda,baby_0_36m,windel,DE;AT,yes,yes,no,no,brand-page,brand-page,,,,https://www.weleda.de/baby,Weleda Baby: Wundschutzcreme auch parfümfrei; von Geburt. Nicht Rx. CFI: nein.
3506770302001,Spray protecteur hydratant SPF 30 haute protection,Lovea,kind_3_11,spf,FR,no,yes,no,no,,obf-category-or-name,,,AAP/AAD: unter 6 Monaten SPF nicht first-line,https://world.openbeautyfacts.org/product/3506770302001/spray-protecteur-hydratant-spf-30-haute-protection-lovea,"SAFETY NOTE unter 6 Mon.: Schatten/Kleidung first-line, kein SPF-First für Neonaten in App-Copy. Lovea: nur synthetic-scent-free (schwach) — FF für Baby-Katalog nicht gesetzt."
4061459916355,Baby & Kids Sensitive Sun Lotion,Lacura,baby_0_36m,creme,IE,no,yes,yes,no,,obf-category-or-name,cfi,,,https://world.openbeautyfacts.org/product/4061459916355/baby-kids-sensitive-sun-lotion-lacura,
4335619041042,Lingettes bébé,Lupilu,baby_0_36m,windel,FR,no,yes,yes,no,,obf-category-or-name,cfi,,,https://world.openbeautyfacts.org/product/4335619041042/lingettes-bebe-lupilu,
40879918,Lingettes pour bébés,Lupilu sensitive,baby_0_36m,windel,FR,no,yes,yes,no,,obf-category-or-name,cfi,,,https://world.openbeautyfacts.org/product/40879918/lingettes-pour-bebes-lupilu-sensitive,
4056489564300,Shampooing douche extra doux pêche-abricot,CIEN,kind_3_11,bad,FR,no,yes,yes,no,,obf-category-or-name,cfi,,,https://world.openbeautyfacts.org/product/4056489564300/shampooing-douche-extra-doux-peche-abricot-cien,
3282779309110,Aderma - Primalba Bébé Gel Lavant Douceur,,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3282779309110/aderma-primalba-bebe-gel-lavant-douceur,
8713769500293,Dermo Care L.O.L. Surprise! Bad & Douche,,baby_0_36m,bad,NL,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/8713769500293/dermo-care-l-o-l-surprise-bad-douche,
8713769500743,Dermo Care My Little Pony Bad & Douche,,baby_0_36m,bad,NL,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/8713769500743/dermo-care-my-little-pony-bad-douche,
3574669908535,John's,,baby_0_36m,bad,DK,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3574669908535/john-s,
3574661172484,JOHNSONS Baby Bath 500ml,,baby_0_36m,bad,CY,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3574661172484/johnsons-baby-bath-500ml,
8720181537851,"Neutral 0% Baby Bath, Wash & Shampoo",,baby_0_36m,bad,NL,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/8720181537851/neutral-0-baby-bath-wash-shampoo,
5410091778620,Schwarzkopf Kids Shampoo & Douchegel,,baby_0_36m,bad,NL,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/5410091778620/schwarzkopf-kids-shampoo-douchegel,
4066447524062,Alverde Baby njrgujuća kupka,Alverde,baby_0_36m,bad,HR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/4066447524062/alverde-baby-njrgujuća-kupka,
3596710313389,Gel lavant corps & cheveux Camomille,Auchan,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3596710313389/gel-lavant-corps-cheveux-camomille-auchan,
3245678704332,Gel lavant corps et cheveux aux extraits de calendula et de camomille,Auchan,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3245678704332/gel-lavant-corps-et-cheveux-aux-extraits-de-calendula-et-de-camomille-auchan,
3245678041277,Gel lavant doux corps et cheveux à l'extrait d'aloe vera bio,Auchan Baby Bio,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3245678041277/gel-lavant-doux-corps-et-cheveux-a-l-extrait-d-aloe-vera-bio-auchan-baby-bio,
3574661523521,Power Shower,bebe,baby_0_36m,bad,DE,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3574661523521/power-shower-bebe,
5900516653170,Bain moussant,Bella Baby Happy,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/5900516653170/bain-moussant-bella-baby,
3286010097064,Solide lavant douceur,Biolane,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3286010097064/solide-lavant-douceur-biolane,
5900931033083,Bar Soap,Bobini Baby,baby_0_36m,bad,PL,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/5900931033083/bar-soap-bobini-baby,
3350033362147,Gel lavant corps et cheveux,Bout'chou,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3350033362147/gel-lavant-corps-et-cheveux-bout-chou,
3350033186309,gel lavant corps et cheveux pour bébé,Bout'chou,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3350033186309/gel-lavant-corps-et-cheveux-pour-bebe-bout-chou,
3600550300628,Thermal Peaux Sensibles Gel lavant hydratant,Bébé Cadum,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3600550300628/thermal-peaux-sensibles-gel-lavant-hydratant-bebe-cadum,
3600550976700,bébé Cadillac gel lavant,Cadum,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3600550976700/bebe-cadillac-gel-lavant-cadum,
3560071319731,Gel lavant 2 in 1,Carrefour,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3560071319731/gel-lavant-2-in-1-carrefour,
3245411903237,Gel lavant Corps et Cheveux,Carrefour,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3245411903237/gel-lavant-corps-et-cheveux-carrefour,
3560071276911,Huile lavante 2 in 1,Carrefour,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3560071276911/huile-lavante-2-in-1-carrefour,
5407005691625,Gel lavant corps & cheveux,Ceres Pharma,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/5407005691625/gel-lavant-corps-cheveux-nosko,
8058664129386,Bath and shower gel Baby Moments Kids,chicco,baby_0_36m,bad,IT,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/8058664129386/bath-and-shower-gel-baby-moments-kids-chicco,
3010351760123,savon bébé,cigalbio,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3010351760123/savon-bebe-cigalbio,
3468080080027,Corine de Farme Amandelbloesem Wasgel,Corine,baby_0_36m,bad,NL,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3468080080027/corine-de-farme-amandelbloesem-wasgel,
