ean,name,brand,category,eu_countries,flag_nc,flag_cf,flag_fragrance_free,nc_basis,cf_basis,fragrance_basis,source_url,notes,keep_reason
,Bioderma Sébium Gel moussant,Bioderma,face/skincare,DE|AT|FR|EU,yes,no,no,brand-page,,,https://www.bioderma.de/unsere-produkte/sebium/gel-moussant,Claim: 'Nicht komedogen'; Seite sagt auch 'Leichter frischer Duft' → nicht parfümfrei,category=face/skincare
,Bioderma Sébium H2O,Bioderma,face/skincare,DE|AT|FR|EU,yes,no,no,brand-page,,,https://www.bioderma.de/unsere-produkte/sebium/h2o,Claim: 'Nicht komedogen',category=face/skincare
,CeraVe Ausgleichender Reinigungsschaum,CeraVe,face/skincare,DE|AT|EU,yes,no,yes,brand-page,,claim,https://www.cerave.de/hautpflege/reinigung-fuer-gesicht-und-koerper/ausgleichender-reinigungsschaum,Claim: 'Nicht komedogene Formel' + 'ohne Duftstoffe oder Parabene',category=face/skincare
,CeraVe Feuchtigkeitsspendendes HA Water Gel,CeraVe,face/skincare,DE|AT|EU,yes,no,yes,brand-page,,claim,https://www.cerave.de/hautpflege/gesichtspflege/feuchtigkeitsspendendes-ha-water-gel,Claim: 'nicht komedogen … und ohne Duftstoffe' / 'ohne Parfüm'; INCI ohne Parfum/Fragrance geprüft auf Produktseite,category=face/skincare
,Cetaphil Feuchtigkeitscreme,Cetaphil,face/skincare,DE|AT|EU,yes,no,yes,brand-page,,claim,https://www.cetaphil.de/produktkategorie/feuchtigkeitspflege/feuchtigkeitscreme/1874015.html,Claim: 'Nicht komedogen' + 'Ohne Parfüm'; INCI ohne Parfum,category=face/skincare
,Cetaphil Sanfte Reinigungslotion,Cetaphil,face/skincare,DE|AT|EU,yes,no,yes,brand-page,,claim,https://www.cetaphil.de/produktkategorie/reinigung/reinigungslotion/7127319.html,Claim: 'Nicht komedogen' + 'duftstofffreie Reinigungslotion',category=face/skincare
,Cetaphil Sanfte Tagespflege mit Hyaluronsäure,Cetaphil,face/skincare,DE|AT|EU,yes,no,yes,brand-page,,claim,https://www.cetaphil.de/produktkategorie/feuchtigkeitspflege/tagespflege-mit-hyalurons%C3%A4ure/14136571.html,Claim: 'Nicht komedogen' + 'Ohne Duftstoffe',category=face/skincare
,Eucerin DERMOPURE CLINICAL Hydra Repair,Eucerin,face/skincare,DE|AT|EU,yes,no,yes,brand-page,,claim,https://www.eucerin.de/produkte/dermopure-clinical/hydra-repair,Claim: 'Nicht komedogen' + 'Ohne Duftstoffe',category=face/skincare
,Eucerin DERMOPURE CLINICAL Klärendes Tonic,Eucerin,face/skincare,DE|AT|EU,yes,no,yes,brand-page,,claim,https://www.eucerin.de/produkte/dermopure-clinical/klaerendes-tonic,Claim: 'Nicht komedogen' + 'Ohne Duftstoffe',category=face/skincare
,Eucerin DERMOPURE CLINICAL Mat Fluid,Eucerin,face/skincare,DE|AT|EU,yes,no,no,brand-page,,,https://www.eucerin.de/produkte/dermopure-clinical/mat-fluid,Claim: 'Nicht komedogen'; Parfümfrei nicht in Fetch bestätigt → FF=no,category=face/skincare
,Eucerin DERMOPURE CLINICAL Porenverfeinerndes Reinigungsgel,Eucerin,face/skincare,DE|AT|EU,yes,no,yes,brand-page,,claim,https://www.eucerin.de/produkte/dermopure-clinical/porenverfeinerndes-reinigungsgel,Claim: 'Nicht komedogen'; 'Frei von Duftstoffen',category=face/skincare
,La Roche-Posay Toleriane Sensitive Crème,La Roche-Posay,face/skincare,FR|DE|AT|EU,yes,no,yes,brand-page,,claim,https://www.laroche-posay.fr/gammes/visage/toleriane/toleriane-sensitive-creme.-soin-hydratant-apaisant-protecteur/LRP_128.html,Claim laut Markenseite (Snippet): 'Non comédogène' + 'SANS PARFUM'; Direktabruf Cloudflare-blockiert — vor Launch Seite erneut öffnen,category=face/skincare
,Vichy NORMADERM Anti-Age,Vichy,face/skincare,DE|AT|EU,yes,no,no,brand-page,,,https://www.vichy.de/alle-produkte/hautpflege/tagescremes/akne/normaderm-anti-age,Claim: 'nicht komedogen'; INCI enthält PARFUM/FRAGRANCE → FF=no,category=face/skincare
0083800049004,7TH Heaven Superfood Pomegranate Peel-Off Mask,7th Heaven,face/skincare,NL,no,yes,no,,leaping-bunny,,https://world.openbeautyfacts.org/product/0083800049004/7th-heaven-superfood-pomegranate-peel-off-mask,OBF-Label crowd-sourced; Siegel vor Launch re-checken,category=face/skincare
3282770202120,Protect Crème SPF50+,A-Derma,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3282770202120/protect-creme-spf50-a-derma,,category=face/skincare
7319861018585,Kids Active Sun Lotion SPF 50+,ACO,face/skincare,SE,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/7319861018585/kids-active-sun-lotion-spf-50-aco,,category=face/skincare
