ean,name,brand,age_band,profile_slot,eu_countries,flag_fragrance_free,flag_nc,flag_cf,fragrance_basis,nc_basis,cf_basis,not_for_minors,source_url,notes
3282770202120,Protect Crème SPF50+,A-Derma,teen_or_ya_unclear,basis_creme,FR,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/3282770202120/protect-creme-spf50-a-derma,
7319861018585,Kids Active Sun Lotion SPF 50+,ACO,teen_or_ya_unclear,basis_spf,SE,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/7319861018585/kids-active-sun-lotion-spf-50-aco,
7319861018509,Sun face cream,ACO,teen_or_ya_unclear,basis_creme,NL;SE,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/7319861018509/sun-face-cream-aco,
7313272135244,Solcreme ansikte SPF 30,apoteket,teen_or_ya_unclear,basis_spf,SE,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/7313272135244/solcreme-ansikte-spf-30-apoteket,
7313272150896,Solcreme ansikte SPF 50,apoteket,teen_or_ya_unclear,basis_spf,SE,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/7313272150896/solcreme-ansikte-spf-50-apoteket,
7313272153712,Solfluid ansikte,apoteket,teen_or_ya_unclear,basis_spf,SE,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/7313272153712/solfluid-ansikte-apoteket,
7313272135268,Sollotion högt skydd SPF 30,apoteket,teen_or_ya_unclear,basis_spf,SE,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/7313272135268/sollotion-hogt-skydd-spf-30-apoteket,
7313272135275,Sollotion SPF 30,apoteket,teen_or_ya_unclear,basis_spf,SE,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/7313272135275/sollotion-spf-30-apoteket,
7313272139747,Sollotion SPF 30,apoteket,teen_or_ya_unclear,basis_spf,SE,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/7313272139747/sollotion-spf-30-apoteket,
7313272150834,Sollotion SPF 30,apoteket,teen_or_ya_unclear,basis_spf,SE,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/7313272150834/sollotion-spf-30-apoteket,
7313272150940,Solspray SPF 30,apoteket,teen_or_ya_unclear,basis_spf,SE,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/7313272150940/solspray-spf-30-apoteket,
3282779059848,Eluage Crème anti-âge restructurant,Avène,young_adult,basis_creme,FR,no,yes,no,,obf-label,,yes,https://world.openbeautyfacts.org/product/3282779059848/eluage-creme-anti-age-restructurant-avene,not-for-minors: Retinol/Anti-Aging — nur young_adult / kein Teen-Vorschlag
3282779363815,Très Haute Protection Spray 50+ SPF,Avène,teen_or_ya_unclear,basis_spf,FR,no,yes,no,,obf-label,,no,https://world.openbeautyfacts.org/product/3282779363815/tres-haute-protection-spray-50-spf-avene,
4005900261038,NIVEA SUN Protect & Sensitive Sun Lotion SPF 30,Beiersdorf,teen_or_ya_unclear,basis_spf,SE,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/4005900261038/nivea-sun-protect-sensitive-sun-lotion-spf-30-beiersdorf,
4005900127365,Protect & Sensitive 50,Beiersdorf,teen_or_ya_unclear,basis_spf,FR,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/4005900127365/protect-sensitive-50-beiersdorf,
3329310002113,Masque visage purifiant Argile verte,Biocos,teen_or_ya_unclear,sonst,FR,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/3329310002113/masque-visage-purifiant-argile-verte-biocos,
,Bioderma Photoderm AKN Mat LSF 30,Bioderma,tween_teen,basis_spf,DE;AT;FR;EU,no,yes,no,,brand-page,,no,https://www.bioderma.de/unsere-produkte/photoderm/akn-mat-lsf-30,"DE: Erwachsene, Teenager; Nicht komedogen; Seite sagt 'Parfümiert' → FF=no; Salicyl+Glykolsäure"
,Bioderma Sébium Gel moussant,Bioderma,tween_teen,akne_reiniger,DE;AT;FR;EU,no,yes,no,,brand-page,,no,https://www.bioderma.de/unsere-produkte/sebium/gel-moussant,"DE: Erwachsene, Teenager; Nicht komedogen; leichter frischer Duft → FF=no"
,Bioderma Sébium H2O,Bioderma,tween_teen,akne_reiniger,DE;AT;FR;EU,no,yes,no,,brand-page,,no,https://www.bioderma.de/unsere-produkte/sebium/h2o,"DE: Erwachsene, Teenager; Nicht komedogen"
3401573670053,Créaline TS H2O Solution micellaire,Bioderma,tween_teen,basis_reiniger,FR,yes,no,no,obf-label,,,no,https://world.openbeautyfacts.org/product/3401573670053/crealine-ts-h2o-solution-micellaire-bioderma,
3401353688513,Photoderm Bronz SPF 50+,Bioderma,tween_teen,basis_spf,FR,no,yes,no,,obf-label,,no,https://world.openbeautyfacts.org/product/3401353688513/photoderm-bronz-spf-50-bioderma,
3401353688742,Photoderm MAX SPF 50+ Spray très haute protection,Bioderma,tween_teen,basis_spf,FR,yes,yes,no,obf-label,obf-label,,no,https://world.openbeautyfacts.org/product/3401353688742/photoderm-max-spf-50-spray-tres-haute-protection-bioderma,
5017634247843,Anti-boutons,Bioré,teen_or_ya_unclear,akne_active,FR,no,yes,no,,obf-label,,no,https://world.openbeautyfacts.org/product/5017634247843/anti-boutons-biore,
