ean,name,brand,katalog,age_band,slot,eu_countries,flag_fragrance_free,flag_nc,flag_cf,flag_under3_intended,fragrance_basis,nc_basis,cf_basis,under3_basis,not_for_minors,spf_note,source_url,checked_at,notes,source_file
3282779309110,Aderma - Primalba Bébé Gel Lavant Douceur,,baby_kind,baby_0_36m,bad,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3282779309110/aderma-primalba-bebe-gel-lavant-douceur,2026-09-04,,eu-baby-kind-katalog.csv
8002849914175,Baby dentifricio,,baby_kind,baby_0_36m,creme,IT,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/8002849914175/baby-dentifricio,2026-09-04,,eu-baby-kind-katalog.csv
4305615968766,baby duschgel,,baby_kind,baby_0_36m,sonst,DE,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/4305615968766/baby-duschgel,2026-09-04,,eu-baby-kind-katalog.csv
4533213040984,Baby Foot Masque Chaussette Pour Les Pieds Liberta,,baby_kind,baby_0_36m,sonst,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/4533213040984/baby-foot-masque-chaussette-pour-les-pieds-liberta,2026-09-04,,eu-baby-kind-katalog.csv
5310001200398,baby powder,,baby_kind,baby_0_36m,sonst,SI,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/5310001200398/baby-powder,2026-09-04,,eu-baby-kind-katalog.csv
7501022103173,baby shampoo,,baby_kind,baby_0_36m,haar,ES,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/7501022103173/baby-shampoo,2026-09-04,,eu-baby-kind-katalog.csv
3574661322018,Bebe,,baby_kind,baby_0_36m,sonst,DE,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3574661322018/bebe,2026-09-04,,eu-baby-kind-katalog.csv
3574661155586,Bebe classic,,baby_kind,baby_0_36m,sonst,DE,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3574661155586/bebe-classic,2026-09-04,,eu-baby-kind-katalog.csv
3574661690483,bebe Waschgel,,baby_kind,baby_0_36m,sonst,DE,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3574661690483/bebe-waschgel,2026-09-04,,eu-baby-kind-katalog.csv
00634200,bebe young care Traube Smoothie duschgel,,baby_kind,baby_0_36m,sonst,DE,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/00634200/bebe-young-care-traube-smoothie-duschgel,2026-09-04,,eu-baby-kind-katalog.csv
7702661491007,colonia cero de bebe,,baby_kind,baby_0_36m,sonst,ES,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/7702661491007/colonia-cero-de-bebe,2026-09-04,,eu-baby-kind-katalog.csv
3663395018141,Crème nuit bebe,,baby_kind,baby_0_36m,creme,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3663395018141/creme-nuit-bebe,2026-09-04,,eu-baby-kind-katalog.csv
5010622008518,Dentifrice fluoré bébé 0-2 ans,,baby_kind,baby_0_36m,sonst,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/5010622008518/dentifrice-fluore-bebe-0-2-ans,2026-09-04,,eu-baby-kind-katalog.csv
8713769500293,Dermo Care L.O.L. Surprise! Bad & Douche,,baby_kind,baby_0_36m,bad,NL,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/8713769500293/dermo-care-l-o-l-surprise-bad-douche,2026-09-04,,eu-baby-kind-katalog.csv
8713769500286,Dermo Care L.O.L. Surprise! Shampoo,,baby_kind,baby_0_36m,haar,NL,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/8713769500286/dermo-care-l-o-l-surprise-shampoo,2026-09-04,,eu-baby-kind-katalog.csv
8713769500743,Dermo Care My Little Pony Bad & Douche,,baby_kind,baby_0_36m,bad,NL,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/8713769500743/dermo-care-my-little-pony-bad-douche,2026-09-04,,eu-baby-kind-katalog.csv
8713769500729,Dermo Care My Little Pony Shampoo,,baby_kind,baby_0_36m,haar,NL,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/8713769500729/dermo-care-my-little-pony-shampoo,2026-09-04,,eu-baby-kind-katalog.csv
8431876272420,esponja Bebe Dermo,,baby_kind,baby_0_36m,sonst,ES,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/8431876272420/esponja-bebe-dermo,2026-09-04,,eu-baby-kind-katalog.csv
4059729447371,Essence Baby Got Blush 20 Blushin' Berry Liquid Blush,,baby_kind,baby_0_36m,sonst,NL,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/4059729447371/essence-baby-got-blush-20-blushin-berry-liquid-blush,2026-09-04,,eu-baby-kind-katalog.csv
3600542520805,Garnier Ambre Solaire Kids Sensitive Expert+ SPF50+ Zonnemelk,,baby_kind,baby_0_36m,spf,NL,no,no,no,yes,,,,obf-category-or-name,no,AAP/AAD: unter 6 Monaten SPF nicht first-line,https://world.openbeautyfacts.org/product/3600542520805/garnier-ambre-solaire-kids-sensitive-expert-spf50-zonnemelk,2026-09-04,"SAFETY NOTE unter 6 Mon.: Schatten/Kleidung first-line, kein SPF-First für Neonaten in App-Copy.",eu-baby-kind-katalog.csv
3600542460439,Garnier Loving Blends Kids Abrikoos 2-in-1 Shampoo & Conditioner,,baby_kind,baby_0_36m,haar,NL,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3600542460439/garnier-loving-blends-kids-abrikoos-2-in-1-shampoo-conditioner,2026-09-04,,eu-baby-kind-katalog.csv
3600542463379,Garnier Loving Blends Kids Milde Haver 2-in-1 Shampoo & Conditioner,,baby_kind,baby_0_36m,haar,NL,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3600542463379/garnier-loving-blends-kids-milde-haver-2-in-1-shampoo-conditioner,2026-09-04,,eu-baby-kind-katalog.csv
7790010915199,Gohmso's baby shampoo,,baby_kind,baby_0_36m,haar,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/7790010915199/gohmso-s-baby-shampoo,2026-09-04,,eu-baby-kind-katalog.csv
3574660025415,gohnsons baby powder,,baby_kind,baby_0_36m,sonst,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3574660025415/gohnsons-baby-powder,2026-09-04,,eu-baby-kind-katalog.csv
4062300445543,HiPP ULTRA HYGIENE SENSITIV BABYSANFT SIEGEL FEUCHTTÜCHER,,baby_kind,baby_0_36m,sonst,DE,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/4062300445543/hipp-ultra-hygiene-sensitiv-babysanft-siegel-feuchttucher,2026-09-04,,eu-baby-kind-katalog.csv
4262401739750,Jean &Len OHNE GEDØNS* Sensitiver Sofortschutz für sehr empfindliche Haut BABY& KIDS NNE 50+ — E,,baby_kind,baby_0_36m,sonst,DE,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/4262401739750/jean-len-ohne-gedøns-sensitiver-sofortschutz-fur-sehr-empfindliche-haut-baby-kids-nne-50-e,2026-09-04,,eu-baby-kind-katalog.csv
3574669908535,John's,,baby_kind,baby_0_36m,bad,DK,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3574669908535/john-s,2026-09-04,,eu-baby-kind-katalog.csv
8410207116008,johnson's baby,,baby_kind,baby_0_36m,sonst,ES,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/8410207116008/johnson-s-baby,2026-09-04,,eu-baby-kind-katalog.csv
3574660420951,Johnson's baby lotion,,baby_kind,baby_0_36m,creme,NL,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3574660420951/johnson-s-baby-lotion,2026-09-04,,eu-baby-kind-katalog.csv
3574661172484,JOHNSONS Baby Bath 500ml,,baby_kind,baby_0_36m,bad,CY,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3574661172484/johnsons-baby-bath-500ml,2026-09-04,,eu-baby-kind-katalog.csv
3574660711929,JOHNSONS Baby Conditioner 500ml,,baby_kind,baby_0_36m,sonst,CY,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3574660711929/johnsons-baby-conditioner-500ml,2026-09-04,,eu-baby-kind-katalog.csv
3574661069456,johnsons baby shampo,,baby_kind,baby_0_36m,haar,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3574661069456/johnsons-baby-shampo,2026-09-04,,eu-baby-kind-katalog.csv
3574660500837,JOHNSONS Baby Shampoo 300ml,,baby_kind,baby_0_36m,haar,CY,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3574660500837/johnsons-baby-shampoo-300ml,2026-09-04,,eu-baby-kind-katalog.csv
8717333639174,Kruidvat Mama Protection Kraamverband,,baby_kind,baby_0_36m,sonst,NL,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/8717333639174/kruidvat-mama-protection-kraamverband,2026-09-04,,eu-baby-kind-katalog.csv
4021457612956,Lavera Baby u. Kinder Pflegecreme,,baby_kind,baby_0_36m,creme,FR;DE,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/4021457612956/lavera-baby-u-kinder-pflegecreme,2026-09-04,,eu-baby-kind-katalog.csv
4021457604975,Lavera Baby u. Kinder Windschutzcreme,,baby_kind,baby_0_36m,creme,FR;DE,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/4021457604975/lavera-baby-u-kinder-windschutzcreme,2026-09-04,,eu-baby-kind-katalog.csv
3564700386941,"Lingettes Bébé Mots D'enfants, Sensitives Recharge x63",,baby_kind,baby_0_36m,windel,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3564700386941/lingettes-bebe-mots-d-enfants-sensitives-recharge-x63,2026-09-04,,eu-baby-kind-katalog.csv
